CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
1,35,35,0,0,230,0
2,41,49,10,0,204,10
3,35,17,7,0,202,10
4,55,45,13,0,197,10
5,55,20,19,149,159,10
6,15,30,26,0,199,10
7,25,30,3,99,109,10
8,20,50,5,0,198,10
9,10,43,9,95,105,10
10,55,60,16,97,107,10
11,30,60,16,124,134,10
12,20,65,12,67,77,10
13,50,35,19,0,205,10
14,30,25,23,159,169,10
15,15,10,20,32,42,10
16,30,5,8,61,71,10
17,10,20,19,75,85,10
18,5,30,2,157,167,10
19,20,40,12,87,97,10
20,15,60,17,76,86,10
21,45,65,9,126,136,10
22,45,20,11,0,201,10
23,45,10,18,97,107,10
24,55,5,29,68,78,10
25,65,35,3,153,163,10
26,65,20,6,172,182,10
27,45,30,17,0,208,10
28,35,40,16,37,47,10
29,41,37,16,39,49,10
30,64,42,9,63,73,10
31,40,60,21,71,81,10
32,31,52,27,0,202,10
33,35,69,23,141,151,10
34,53,52,11,37,47,10
35,65,55,14,0,183,10
36,63,65,8,143,153,10
37,2,60,5,41,51,10
38,20,20,8,0,198,10
39,5,5,16,83,93,10
40,60,12,31,44,54,10
41,40,25,9,85,95,10
42,42,7,5,97,107,10
43,24,12,5,31,41,10
44,23,3,7,132,142,10
45,11,14,18,69,79,10
46,6,38,16,32,42,10
47,2,48,1,117,127,10
48,8,56,27,51,61,10
49,13,52,36,0,192,10
50,6,68,30,108,118,10
51,47,47,13,0,203,10
